no,item,exp,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question,target
38,13,1,unmodified,b,y,Ami,az állatokat,"illeti,",a gyerekek,múltkor,az elefántot,nézték meg.,13b,13a,,
13,5,1,exhaustive,b,n,Ami,a süteményeket,"illeti,",én,csak,a fánkot,sütöttem.,5a,5b,,5a
18,6,1,contrastive,b,y,Hallottam,hogy,Éva,többek,között,a tulipánt,szereti.,6b,6a,,6b
11,4,1,unmodified,b,n,Ami,a harci eszközöket,"illeti,",a katonaság,tavaly,a helikoptert,tesztelte.,4a,4b,,
45,15,1,contrastive,b,n,Éjjel,a szigeten,a kalóz,többek,között,az aranyat,találta meg.,15a,15b,,15b
56,19,2,other-directed,b,y,A szakács,"említette,",hogy,a dolgozó,megdicsérte,,a főzőtudását.,dolgozó,szakács,Kinek a főzőtudásáról van szó?,szakács
29,10,1,unmodified,b,n,Ami,az új fajokat,"illeti,",Marci,tavaly,egy lepkét,fedezett fel.,10a,10b,,
71,23,2,self-directed,b,n,A rendőr,"tudta,",hogy,a biztonsági őr,eljátszotta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?,biztonsági őr
40,14,1,exhaustive,b,y,Ami,a konyhát,"illeti,",a szerelő,csak,a hűtőt,üzemelte be.,14b,14a,,14a
118,35,,attention-check,b,y,Ha,"figyelsz arra,",amit,olvasol,válaszd,majd,a madarat.,tigris,pelikán,Melyiket választod?,pelikán
107,32,2,self-directed,b,n,Az újságíró,"meglepődött,",hogy,a politikus,megbánta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?,politikus
4,2,1,exhaustive,b,y,Ami,az írószereket,"illeti,",a kisfiú,csak,egy ceruzát,kapott.,2b,2a,,2a
83,26,2,self-directed,b,n,A pilóta,"úgy vélte,",hogy,a professzor,dicsekedett,,a kapcsolataival.,pilóta,professzor,Kinek a kapcsolatairól van szó?,professzor
68,22,2,other-directed,b,y,A vezérigazgató,"sejtette,",hogy,a menedzser,vágyott,,a vagyonára.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?,vezérigazgató
62,20,2,other-directed-x,b,y,A rendező,"megemlítette,",hogy,a programozó,ámult,,az ügyességén.,programozó,rendező,Kinek az ügyességéről van szó?,rendező
92,28,2,other-directed,b,y,Mária,"mondta,",hogy,Julcsi,visszaadta,,a könyvét.,Julcsi,Mária,Kinek a könyvéről van szó?,Mária
59,20,2,self-directed,b,n,A programozó,"megemlítette,",hogy,a rendező,töprengett,,az ügyességén.,programozó,rendező,Kinek az ügyességéről van szó?,rendező
77,24,2,self-directed-x,b,n,A mérnök,"megköszönte,",hogy,az építész,megosztotta,,a terveit.,mérnök,építész,Kinek a terveiről van szó?,építész
20,7,1,unmodified,b,y,Ami,a bevásárlást,"illeti,",mi,tegnap,ásványvizet,vettünk.,7b,7a,,
89,27,2,self-directed-x,b,n,A kórboncnok,"látta,",hogy,a katona,odafigyelt,,a munkájára.,kórboncnok,katona,Kinek a munkájáról van  szó?,katona
98,29,2,other-directed-x,b,y,A munkás,"azt hitte,",hogy,a földműves,elvette,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?,munkás
121,36,,attention-check,b,n,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,vacsora,reggeli,Melyiket választod?,vacsora
2,1,1,unmodified,b,y,Ami,a gyümölcsöket,"illeti,",Anna,tegnap,egy banánt,evett.,1b,1a,,
86,26,2,other-directed-x,b,y,A professzor,"úgy vélte,",hogy,a pilóta,irigykedett,,a kapcsolataira.,pilóta,professzor,Kinek a kapcsolatairól van szó?,professzor
112,33,,attention-check,b,y,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,paradicsom,burgonya,,burgonya
74,23,2,other-directed-x,b,y,A biztonsági őr,"tudta,",hogy,a rendőr,ellopta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?,biztonsági őr
